# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
1		3.43282		6500.0		N0750.3		40.1550		40.5800		-2.0000		0.052173		0.000482		3.432820		371.888833		6000.0		1.000000		371.888833		233664.645350
1		0		6500.0		N0750.4		40.2050		40.5640		-2.0000		0.052498		0.000485		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
1		4.9599		6500.0		N0750.5		40.2540		40.5440		-2.0000		0.052924		0.000489		4.959900		537.322500		6000.0		1.000000		537.322500		337609.683722
0.999996		0.809491		6500.0		N0750.6		40.3000		40.5200		-2.0000		0.051884		0.000479		0.809488		87.694508		6000.0		1.000000		87.694508		55100.084138
1		2.0836		6500.0		N0750.7		40.3440		40.4910		-2.0000		0.052697		0.000486		2.083600		225.723333		6000.0		1.000000		225.723333		141826.153149
0.999996		3.11485		6500.0		N0750.8		40.3860		40.4600		-2.0000		0.052202		0.000482		3.114838		337.440734		6000.0		1.000000		337.440734		212020.265918
1		2.57904		6500.0		N0750.9		40.4240		40.4240		-2.0000		0.052345		0.000483		2.579040		279.396000		6000.0		1.000000		279.396000		175549.684208
0.999996		2.98023		6500.0		N0750.10		40.4600		40.3860		-2.0000		0.052345		0.000483		2.980218		322.856959		6000.0		1.000000		322.856959		202857.009839
0.999996		4.20677		6500.0		N0750.11		40.4910		40.3440		-2.0000		0.052202		0.000482		4.206753		455.731594		6000.0		1.000000		455.731594		286344.605376
0.999996		0		6500.0		N0750.12		40.5200		40.3000		-2.0000		0.052697		0.000486		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
1		6.20995		6500.0		N0750.13		40.5440		40.2540		-2.0000		0.051884		0.000479		6.209950		672.744583		6000.0		1.000000		672.744583		422697.888148
0.999996		0		6500.0		N0750.14		40.5640		40.2050		-2.0000		0.052924		0.000489		0.000000		0.000000		6000.0		1.000000		0.000000		0.000000
0.999996		2.65155		6500.0		N0750.15		40.5800		40.1550		-2.0000		0.052498		0.000485		2.651539		287.250101		6000.0		1.000000		287.250101		180484.561406
0.999996		2.2828		6500.0		N0750.16		40.5910		40.1040		-2.0000		0.052173		0.000482		2.282791		247.302344		6000.0		1.000000		247.302344		155384.645501
0.999996		2.99605		6500.0		N0750.17		40.5980		40.0520		-2.0000		0.052469		0.000484		2.996038		324.570785		6000.0		1.000000		324.570785		203933.838773
