# 刀具直径(mm): 10.0
# 刀具材料: 硬质合金铝用铣刀
# 毛坯材料: AL6061
ap		 ae		 F		 N		 X		 Y		 Z		 s(行程)		 t(时间)		 dMRV		 MRR		 S(转速)		 K(扭矩系数)		 T(扭矩)		 P(功率)
0.5		1.90919		6500.0		N0		-56.7590		17.4080		-8.5000		0.077782		0.000718		0.954595		103.414458		10000.0		0.600000		62.048675		64977.220515
0.5		2.1338		6500.0		N0		-56.7090		17.3470		-8.5000		0.078873		0.000728		1.066900		115.580833		10000.0		0.600000		69.348500		72621.579379
0.5		0		6500.0		N0		-56.6640		17.2820		-8.5000		0.079057		0.000730		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		0.554576		6500.0		N0		-56.6260		17.2140		-8.5000		0.077897		0.000719		0.277288		30.039533		10000.0		0.600000		18.023720		18874.395447
0		0		6500.0		N0		-56.5940		17.1420		-8.5000		0.078791		0.000727		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		0.860337		6500.0		N0		-56.5690		17.0680		-8.5000		0.078109		0.000721		0.430169		46.601588		10000.0		0.600000		27.960953		29280.640987
0.5		0		6500.0		N0		-56.5510		16.9910		-8.5000		0.079076		0.000730		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		0		6500.0		N0		-56.5410		16.9130		-8.5000		0.078638		0.000726		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		0		6500.0		N0		-56.5370		16.8350		-8.5000		0.078102		0.000721		0.000000		0.000000		10000.0		0.600000		0.000000		0.000000
0.5		7.5		6500.0		N0		-56.5370		5.8350		-8.5000		11.000000		0.137500		0.000000		0.000000		10000.0		0.000000		0.000000		0.000000
0.5		3.90895		6500.0		N0		-56.5400		5.7610		-8.5000		0.074061		0.000684		1.954475		211.734792		10000.0		0.600000		127.040875		133036.893202
0.5		6.28343		6500.0		N0		-56.5500		5.6870		-8.5000		0.074673		0.000689		3.141715		340.352458		10000.0		0.600000		204.211475		213849.756546
0.5		3.41665		6500.0		N0		-56.5660		5.6150		-8.5000		0.073756		0.000681		1.708325		185.068542		10000.0		0.600000		111.041125		116281.994182
0.5		4.4356		6500.0		N0		-56.5880		5.5440		-8.5000		0.074330		0.000686		2.217800		240.261667		10000.0		0.600000		144.157000		150960.857388
0.5		2.64184		6500.0		N0		-56.6170		5.4760		-8.5000		0.073926		0.000682		1.320920		143.099667		10000.0		0.600000		85.859800		89912.172306
0.5		4.96209		6500.0		N0		-56.6510		5.4100		-8.5000		0.074243		0.000685		2.481045		268.779875		10000.0		0.600000		161.267925		168879.376147
0.5		4.14468		6500.0		N0		-56.6910		5.3470		-8.5000		0.074626		0.000689		2.072340		224.503500		10000.0		0.600000		134.702100		141059.709261
0.5		5.55375		6500.0		N0		-56.7360		5.2890		-8.5000		0.073410		0.000678		2.776875		300.828125		10000.0		0.600000		180.496875		189015.885499
0.5		4.1773		6500.0		N0		-56.7860		5.2340		-8.5000		0.074330		0.000686		2.088650		226.270417		10000.0		0.600000		135.762250		142169.895745
0.5		6.13478		6500.0		N0		-56.8410		5.1840		-8.5000		0.074330		0.000686		3.067390		332.300583		10000.0		0.600000		199.380350		208790.614277
0.5		0.604824		6500.0		N0		-56.8990		5.1390		-8.5000		0.073410		0.000678		0.302412		32.761300		10000.0		0.600000		19.656780		20584.531880
0.5		2.9467		6500.0		N0		-56.9620		5.0990		-8.5000		0.074626		0.000689		1.473350		159.612917		10000.0		0.600000		95.767750		100287.753284
0.5		4.58226		6500.0		N0		-57.0280		5.0650		-8.5000		0.074243		0.000685		2.291130		248.205750		10000.0		0.600000		148.923450		155952.272156
0.5		4.5654		6500.0		N0		-57.0960		5.0360		-8.5000		0.073926		0.000682		2.282700		247.292500		10000.0		0.600000		148.375500		155378.460258
0.5		2.49023		6500.0		N0		-57.1670		5.0140		-8.5000		0.074330		0.000686		1.245115		134.887458		10000.0		0.600000		80.932475		84752.289632
0.5		3.2865		6500.0		N0		-57.2390		4.9980		-8.5000		0.073756		0.000681		1.643250		178.018750		10000.0		0.600000		106.811250		111852.479440
0.5		3.9854		6500.0		N0		-57.3130		4.9880		-8.5000		0.074673		0.000689		1.992700		215.875833		10000.0		0.600000		129.525500		135638.786418
0.5		3.71857		6500.0		N0		-57.3870		4.9850		-8.5000		0.074061		0.000684		1.859285		201.422542		10000.0		0.600000		120.853525		126557.515433
0.5		3.52413		6500.0		N0		-57.4610		4.9880		-8.5000		0.074061		0.000684		1.762065		190.890375		10000.0		0.600000		114.534225		119939.959948
0.5		2.37838		6500.0		N0		-57.5350		4.9980		-8.5000		0.074673		0.000689		1.189190		128.828917		10000.0		0.600000		77.297350		80945.595634
0.5		3.48173		6500.0		N0		-57.6070		5.0140		-8.5000		0.073756		0.000681		1.740865		188.593708		10000.0		0.600000		113.156225		118496.921723
0.5		2.40144		6500.0		N0		-57.6780		5.0360		-8.5000		0.074330		0.000686		1.200720		130.078000		10000.0		0.600000		78.046800		81730.417839
0.5		2.71895		6500.0		N0		-57.7460		5.0650		-8.5000		0.073926		0.000682		1.359475		147.276458		10000.0		0.600000		88.365875		92536.527909
0.5		2.52954		6500.0		N0		-57.8120		5.0990		-8.5000		0.074243		0.000685		1.264770		137.016750		10000.0		0.600000		82.210050		86090.163044
0.5		2.9467		6500.0		N0		-57.8750		5.1390		-8.5000		0.074626		0.000689		1.473350		159.612917		10000.0		0.600000		95.767750		100287.753284
0.5		2.29261		6500.0		N0		-57.9330		5.1840		-8.5000		0.073410		0.000678		1.146305		124.183042		10000.0		0.600000		74.509825		78026.506280
